Price,Close,High,Low,Open,Volume
Ticker,CI,CI,CI,CI,CI
Date,,,,,
1999-05-01,25.799951553344727,27.287081244402977,24.174486425649786,24.20907186795655,38912700
1999-06-01,24.62409019470215,27.01041343994041,24.08802996353106,25.730789774742995,42519000
1999-07-01,24.47536849975586,26.019173875066006,24.00702337000467,24.804946819619154,34133400
1999-08-01,24.926368713378906,25.811020630137655,22.51525964603384,24.47536863826919,49833300
1999-09-01,21.578567504882812,26.19263184618202,20.676567433096103,24.943711601709737,58205100
1999-10-01,20.812780380249023,22.204937407696175,17.663018175231088,21.43925199852007,82386000
1999-11-01,22.90102195739746,24.293179158070984,20.325525081991778,20.812782969987353,55119300
1999-12-01,22.431167602539062,23.22295607376401,20.534348447315057,22.692197469184592,40343100
2000-01-01,20.057315826416016,23.93599516154542,19.655469603696307,22.450913103177864,38397300
2000-02-01,20.63387680053711,22.468387344217685,20.057316343951786,20.12720139352402,59275200
2000-03-01,21.17549705505371,22.18884485764723,16.98232932137971,20.703765685015384,77888700
2000-04-01,22.401018142700195,24.419920920234564,21.34767868121685,21.48812501426027,41298600
2000-05-01,24.946596145629883,25.525932977048512,20.610345597744143,22.330801501954436,54481200
2000-06-01,26.263263702392578,27.948606758919656,23.524581235536072,24.753476142741476,57351300
2000-07-01,28.155149459838867,29.053718025300387,26.111345372823,26.49896210999713,45790800
2000-08-01,27.419553756713867,29.864188669963056,26.7808664313329,27.873241683254353,49586700
2000-09-01,29.430755615234375,29.881801258040575,24.490391167223375,27.432763109158113,54220800
2000-10-01,34.493797302246094,34.7907905610223,29.430746862174285,29.529743536105105,54893100
2000-11-01,37.26571273803711,37.947385295243926,32.52794458165157,33.942204167629754,55304100
2000-12-01,37.42127990722656,38.679970231483225,33.121934781980904,37.47785262296575,44882700
2001-01-01,31.52005958557129,38.26929512111748,30.555884934967718,37.80138664389338,60859200
2001-02-01,31.100353240966797,34.951384599066934,28.64170456060157,31.520052238769786,67818300
2001-03-01,30.445276260375977,32.86705768157504,28.159610433128332,30.91034814991887,61015800
2001-04-01,30.344470977783203,31.373966640200223,27.728078771820464,30.50088664900251,62682000
2001-05-01,26.86637306213379,31.069666358198827,24.958111789270475,30.14539496981372,107641800
2001-06-01,27.250307083129883,27.759365962651565,25.87954288404974,26.86922364502824,45489300
2001-07-01,28.624649047851562,29.649094881284295,26.515823488649914,27.294861219241795,43711500
2001-08-01,25.682571411132812,26.353171451440236,24.678098464993916,25.168919656339373,65229300
2001-09-01,23.670774459838867,26.20764213197495,21.544829254620534,25.71111238260132,53806500
2001-10-01,20.880083084106445,24.61501299813672,20.622304928070974,23.916144205917725,53445600
2001-11-01,26.130176544189453,26.35072184376352,20.009362693031115,20.880081330947345,67377600
